Symbol,Company Name,Sector/Index,Industry,Last Close Price ($),Fear & Greed Heatmap Value,Current Signal Status,Signal Start Date,Overlay,Overlay Start Date,30-Day Avg Volume,OVTLYR Signal Return (%),Capital Efficiency,Price Change,Fear & Greed Heatmap Direction,OC Channel,Unusual News Activity (UNA),Top Mentions Today (TMT),Ovtlyr Nine,Sector Relative Greed,Partial Data Stocks,Signal Type
"ABBV","AbbVie Inc. Common Stock","Health Care","Drug Manufacturers - General","258.92","57.03","Buy","Aug 19, 2026","Uptrend","Aug 18, 2026","5206138.07","83.4","1.16","3.43","Moving Up","","",,="6/9","<1","false","Swing"
"ABNB","Airbnb, Inc. Class A Common Stock","Discretionary","Travel Services","183.25","94.83","Sell","Aug 19, 2026","Uptrend","Jul 28, 2026","4397802.23","50.38","5.19","2.21","Moving Down","","",,="4/9","<1","false","Swing"
"AGM","Federal Agricultural Mortgage Corporation Common Stock","Financials","Credit Services","229.13","79.23","Sell","Aug 19, 2026","Uptrend","Apr 09, 2026","116949.47","131.09","1.39","-1.12","Moving Down","","",,="4/9","<1","false","Swing"
"AIT","Applied Industrial Technologies, Inc. Common Stock","Industrials","Industrial Distribution","354.35","76.55","Sell","Aug 19, 2026","Uptrend","Apr 07, 2026","273987.5","-8","0.42","-1.23","Moving Down","","",,="4/9","<1","false","Swing"
"ALGN","Align Technology, Inc. Common Stock","Health Care","Medical Instruments & Supplies","167.91","49.17","Sell","Aug 19, 2026","Downtrend","Aug 18, 2026","885660.2","-8.4","14.12","-1.9","Moving Down","","",,="4/9","<1","false","Swing"
"AM","Antero Midstream Corporation Common Stock","Energy","Oil & Gas Midstream","22.69","41.63","Buy","Aug 19, 2026","Uptrend","Aug 18, 2026","2233934.7","96.92","0.81","2.44","Moving Up","","",,="7/9","<1","false","Swing"
"AMBA","Ambarella, Inc. Ordinary Shares","Technology","Semiconductor Equipment & Materials","74.82","68.63","Sell","Aug 19, 2026","Neutral","Aug 18, 2026","1720515.03","10.83","4.73","-4.74","Moving Down","","",,="3/9","<1","false","Swing"
"AMH","American Homes 4 Rent Common Shares of Beneficial Interest","Real Estate","REIT - Residential","33.67","70.92","Sell","Aug 19, 2026","Uptrend","Jun 23, 2026","2081119.1","-78.67","0.09","0.12","Moving Down","","",,="4/9","<1","false","Swing"
"AMLX","Amylyx Pharmaceuticals, Inc. Common Stock","Health Care","Drug Manufacturers - Specialty & Generic","35.11","75.33","Buy","Aug 19, 2026","Uptrend","Jun 16, 2026","2496717.27","847.13","1.97","63.84","Moving Up","","Positive","true",="7/9","<1","false","Swing"
"AMN","AMN Healthcare Services Inc","Health Care","Medical Care Facilities","34.54","64.34","Buy","Aug 19, 2026","Uptrend","Aug 07, 2026","785428.97","-24.81","5.17","0","Moving Up","","",,="7/9","<1","false","Swing"
"ANAB","AnaptysBio, Inc. Common Stock","Health Care","Biotechnology","58.99","44.64","Sell","Aug 19, 2026","Uptrend","Aug 14, 2026","609572.07","-162.68","0.1","-1.17","Moving Down","","",,="5/9","<1","false","Swing"
"ANF","Abercrombie & Fitch Company Common Stock","Discretionary","Apparel Retail","103.38","65.96","Sell","Aug 19, 2026","Uptrend","Jun 09, 2026","989096.17","324.79","1.83","-1.69","Moving Down","","",,="4/9","<1","false","Swing"
"AOS","A.O. Smith Corporation Common Stock","Industrials","Specialty Industrial Machinery","60.86","52.88","Sell","Aug 19, 2026","Neutral","Aug 18, 2026","1597886.9","-34.66","0.17","-0.88","Moving Down","","",,="3/9","<1","false","Swing"
"APOG","Apogee Enterprises, Inc. Common Stock","Industrials","Building Products & Equipment","41.25","65.76","Sell","Aug 19, 2026","Uptrend","Aug 03, 2026","172933.3","-4.47","0.34","-2.2","Moving Down","","",,="4/9","<1","false","Swing"
"ATKR","Atkore Inc. Common Stock","Industrials","Electrical Equipment & Parts","93.44","97.62","Sell","Aug 19, 2026","Uptrend","Aug 03, 2026","1038614.23","-83.29","0.07","-0.29","Moving Down","","",,="4/9","<1","false","Swing"
"AVGO","Broadcom Inc. Common Stock","Technology","Semiconductors","380","63.57","Sell","Aug 19, 2026","Neutral","Aug 14, 2026","19001312.43","-81.15","0.37","-3.17","Moving Down","","Positive",,="3/9","<1","false","Swing"
"AWI","Armstrong World Industries Inc Common Stock","Industrials","Building Products & Equipment","177.15","83.3","Sell","Aug 19, 2026","Uptrend","Jul 24, 2026","509903.13","42.92","1.44","-1.13","Moving Down","","",,="4/9","<1","false","Swing"
"AXTA","Axalta Coating Systems Ltd. Common Shares","Materials","Specialty Chemicals","35.42","97.44","Sell","Aug 19, 2026","Uptrend","Jul 28, 2026","1601281.03","-72.33","0.05","-1.91","Moving Down","","",,="4/9","<1","false","Swing"
"BCC","Boise Cascade, L.L.C. Common Stock","Materials","Lumber & Wood Production","80.18","70.26","Sell","Aug 19, 2026","Uptrend","Jul 10, 2026","392853.8","-171.5","0.15","-2.15","Moving Down","","",,="4/9","<1","false","Swing"
"BDSX","Biodesix, Inc. Common Stock","Health Care","Diagnostics & Research","22.34","45.19","Sell","Aug 19, 2026","Uptrend","May 07, 2026","77176.2","16.7","7.35","-3.91","Moving Down","","",,="5/9","<1","false","Swing"
"BELFB","Bel Fuse Inc. Class B Common Stock","Technology","Electronic Components","275.97","37.64","Sell","Aug 19, 2026","Neutral","Aug 18, 2026","250798.47","37.46","0.13","-7.36","Moving Down","","",,="3/9","<1","false","Swing"
"BF/B","Brown Forman Inc Class B Common Stock","Staples","Beverages - Wineries & Distilleries","27.15","80.15","Sell","Aug 19, 2026","Neutral","Aug 18, 2026","2206678.77","-23.7","5.91","-1.56","Moving Down","","",,="2/9","<1","false","Swing"
