Symbol,Company Name,Sector/Index,Industry,Last Close Price ($),Fear & Greed Heatmap Value,Current Signal Status,Signal Start Date,Overlay,Overlay Start Date,30-Day Avg Volume,OVTLYR Signal Return (%),Capital Efficiency,Price Change,Fear & Greed Heatmap Direction,OC Channel,Unusual News Activity (UNA),Top Mentions Today (TMT),Ovtlyr Nine,Sector Relative Greed,Partial Data Stocks,Signal Type
"ACAD","ACADIA Pharmaceuticals Inc. Common Stock","Health Care","Biotechnology","29.58","73.76","Sell","Aug 27, 2026","Uptrend","Jun 22, 2026","1655688.4","88.17","13.29","-3.24","Moving Down","","",,="4/9","<1","false","Swing"
"ADSK","Autodesk, Inc. Common Stock","Technology","Software - Application","254.77","91.86","Sell","Aug 27, 2026","Uptrend","Jul 27, 2026","1967189.03","-28.3","0.2","1.42","Moving Down","","",,="3/9","<1","false","Swing"
"AES","The AES Corporation Common Stock","Utilities","Utilities - Diversified","14.73","58.56","Sell","Aug 27, 2026","Neutral","Aug 26, 2026","6750983.5","72.85","13.55","0","Moving Up","","",,="5/9","<1","false","Swing"
"ASML","ASML Holding N.V. New York Registry Shares","Technology","Semiconductor Equipment & Materials","1745.64","69.29","Sell","Aug 27, 2026","Uptrend","Aug 12, 2026","1491771.17","123.6","0.72","0.08","Moving Down","","Positive",,="3/9","<1","false","Swing"
"BF/B","Brown Forman Inc Class B Common Stock","Staples","Beverages - Wineries & Distilleries","28.07","79.75","Sell","Aug 27, 2026","Uptrend","Aug 19, 2026","2125668.57","-22.78","5.98","-0.39","Moving Down","","",,="4/9","<1","false","Swing"
"BJ","BJ's Wholesale Club Holdings, Inc. Common Stock","Staples","Discount Stores","93.33","65.83","Sell","Aug 27, 2026","Uptrend","Aug 24, 2026","1786236.2","-80.68","0.11","-1.1","Moving Up","","",,="6/9","<1","false","Swing"
"BMRN","BioMarin Pharmaceutical Inc. Common Stock","Health Care","Biotechnology","65.61","84.86","Sell","Aug 27, 2026","Uptrend","Jun 22, 2026","2091843.47","-26.08","2.67","-0.77","Moving Down","","",,="4/9","<1","false","Swing"
"BZ","KANZHUN LIMITED American Depository Shares","Communication","Internet Content & Information","18.84","69.3","Buy","Aug 27, 2026","Uptrend","Jul 13, 2026","4748843","49.62","17.66","15.65","Moving Up","","",,="5/9","<1","false","Swing"
"CHKP","Check Point Software Technologies Ltd. Ordinary Shares","Technology","Software - Infrastructure","129.05","37.21","Sell","Aug 27, 2026","Downtrend","Aug 26, 2026","1143704.7","-67.93","0.06","-0.36","Moving Down","","",,="2/9","<1","false","Swing"
"CPNG","Coupang, Inc. Class A Common Stock","Discretionary","Internet Retail","16.53","54.92","Buy","Aug 27, 2026","Neutral","Aug 26, 2026","17216308.9","-28.59","0.05","-0.96","Moving Up","","",,="4/9","<1","false","Swing"
"CRGY","Crescent Energy Company Class A Common Stock","Energy","Oil & Gas E&P","13.37","87.03","Sell","Aug 27, 2026","Uptrend","Jul 29, 2026","5711055.1","-14.32","0.21","-0.59","Moving Down","","",,="3/9","<1","false","Swing"
"CTVA","Corteva, Inc. Common Stock ","Materials","Agricultural Inputs","82.88","56.09","Buy","Aug 27, 2026","Uptrend","Aug 26, 2026","4479786.63","6.48","0.18","-0.2","Moving Up","","",,="6/9","<1","false","Swing"
"DAN","Dana Incorporated Common Stock ","Discretionary","Auto Parts","30.08","72.6","Sell","Aug 27, 2026","Uptrend","Aug 10, 2026","1373919.13","128.05","6.35","-0.27","Moving Down","","",,="3/9","<1","false","Swing"
"DOW","Dow Inc. Common Stock ","Materials","Chemicals","30.33","67.7","Sell","Aug 27, 2026","Neutral","Aug 25, 2026","9283686.97","-15.31","8.57","0.56","Moving Down","","",,="3/9","<1","false","Swing"
"DT","Dynatrace, Inc. Common Stock","Technology","Software - Application","51.6","86.19","Buy","Aug 27, 2026","Uptrend","Jul 30, 2026","6103423.5","21.29","9.69","3.06","Moving Up","","",,="5/9","<1","false","Swing"
"EFC","Ellington Financial Inc. Common Stock ","Real Estate","REIT - Mortgage","13.46","67.68","Sell","Aug 27, 2026","Neutral","Aug 26, 2026","1088627.33","3.42","0.32","-0.88","Moving Down","","",,="3/9","<1","false","Swing"
"EIX","Edison International Common Stock","Utilities","Utilities - Regulated Electric","74.51","57.53","Buy","Aug 27, 2026","Uptrend","Aug 26, 2026","3147872.43","31.4","12.22","-0.36","Moving Up","","",,="7/9","<1","false","Swing"
"ELAN","Elanco Animal Health Incorporated Common Stock","Health Care","Drug Manufacturers - Specialty & Generic","25.08","49.85","Buy","Aug 27, 2026","Uptrend","Aug 26, 2026","7212919.07","-56.38","1.77","-0.04","Moving Up","","",,="5/9","<1","false","Swing"
"EXLS","ExlService Holdings, Inc. Common Stock","Technology","Information Technology Services","37.5","96.05","Sell","Aug 27, 2026","Uptrend","Jul 27, 2026","2409288.9","107.19","1.79","0.13","Moving Down","","",,="3/9","<1","false","Swing"
"FANG","Diamondback Energy, Inc. Common Stock","Energy","Oil & Gas E&P","199.84","75.59","Sell","Aug 27, 2026","Uptrend","Aug 10, 2026","1790757.8","-81.59","0.2","-0.03","Moving Down","","",,="3/9","<1","false","Swing"
"FLR","Fluor Corporation Common Stock","Industrials","Engineering & Construction","52.03","62.75","Sell","Aug 27, 2026","Uptrend","Aug 07, 2026","2596699.3","-4.25","0.36","1.5","Moving Down","","",,="3/9","<1","false","Swing"
"FTI","TechnipFMC plc Ordinary Share","Energy","Oil & Gas Equipment & Services","75.7","65.43","Sell","Aug 27, 2026","Uptrend","Aug 11, 2026","3077834.3","180.46","1.19","0.66","Moving Down","","",,="3/9","<1","false","Swing"
