Symbol,Company Name,Sector/Index,Industry,Last Close Price ($),Fear & Greed Heatmap Value,Current Signal Status,Signal Start Date,Overlay,Overlay Start Date,30-Day Avg Volume,OVTLYR Signal Return (%),Capital Efficiency,Price Change,Fear & Greed Heatmap Direction,OC Channel,Unusual News Activity (UNA),Top Mentions Today (TMT),Ovtlyr Nine,Sector Relative Greed,Partial Data Stocks,Signal Type
"ADI","Analog Devices, Inc. Common Stock","Technology","Semiconductors","370.24","57.21","Sell","Aug 21, 2026","Downtrend","Aug 19, 2026","3725320.47","153.17","2.02","-0.81","Moving Up","","Positive",,="3/9","<1","false","Swing"
"AMH","American Homes 4 Rent Common Shares of Beneficial Interest","Real Estate","REIT - Residential","34.37","71.37","Buy","Aug 21, 2026","Uptrend","Jun 23, 2026","2088843.17","-76.02","0.1","0.12","Moving Up","","",,="7/9","<1","false","Swing"
"ANET","Arista Networks, Inc. Common Stock","Technology","Computer Hardware","183.75","72.43","Sell","Aug 21, 2026","Uptrend","Jul 31, 2026","7455657.43","-475.76","0.27","-1.45","Moving Down","","Positive",,="3/9","<1","false","Swing"
"ARES","Ares Management Corporation Class A Common Stock","Financials","Asset Management","140.23","86.34","Sell","Aug 21, 2026","Uptrend","Jul 24, 2026","2204656.47","83.37","0.71","-2.01","Moving Down","","",,="3/9","<1","false","Swing"
"AVT","Avnet, Inc. Common Stock","Technology","Electronics & Computer Distribution","86.89","80.46","Sell","Aug 21, 2026","Neutral","Aug 19, 2026","1165748.07","64.56","1.59","-1.64","Moving Down","","",,="2/9","<1","false","Swing"
"BF/B","Brown Forman Inc Class B Common Stock","Staples","Beverages - Wineries & Distilleries","28.41","80.26","Buy","Aug 21, 2026","Uptrend","Aug 19, 2026","2191335.17","-22.01","6.15","-0.07","Moving Up","","",,="4/9","<1","false","Swing"
"BKNG","Booking Holdings Inc. Common Stock","Discretionary","Travel Services","209.87","86.57","Sell","Aug 21, 2026","Uptrend","Jul 24, 2026","5615847.2","42.48","0.74","-1.47","Moving Down","","",,="3/9","<1","false","Swing"
"BLMN","Bloomin' Brands, Inc. Common Stock","Discretionary","Restaurants","10.48","92.95","Sell","Aug 21, 2026","Uptrend","Jul 27, 2026","1974369.17","-69.15","2.57","-1.23","Moving Down","","",,="3/9","<1","false","Swing"
"BSX","Boston Scientific Corporation Common Stock","Health Care","Medical Devices","49.37","70.42","Sell","Aug 21, 2026","Uptrend","Aug 06, 2026","18641394.5","-53.79","0.04","-5.08","Moving Down","","",,="5/9","<1","false","Swing"
"BX","Blackstone Inc. Common Stock","Financials","Asset Management","141.35","83.47","Sell","Aug 21, 2026","Uptrend","Jul 09, 2026","4638216.87","134.34","2.27","-2.58","Moving Down","","",,="3/9","<1","false","Swing"
"C","Citigroup, Inc. Common Stock","Financials","Banks - Diversified","129.67","56.03","Sell","Aug 21, 2026","Downtrend","Aug 20, 2026","10600308.87","97.45","4.15","-2.42","Moving Down","","Negative",,="2/9","<1","false","Swing"
"CE","Celanese Corporation Common Stock","Materials","Chemicals","46.98","49.2","Buy","Aug 21, 2026","Neutral","Aug 20, 2026","1845027.57","-20.11","10.22","1.56","Moving Up","","",,="4/9","<1","false","Swing"
"CFG","Citizens Financial Group, Inc. Common Stock","Financials","Banks - Regional","69.71","63.03","Sell","Aug 21, 2026","Neutral","Aug 20, 2026","3604889.73","113.34","4.18","-1.48","Moving Down","","",,="2/9","<1","false","Swing"
"CHWY","Chewy, Inc. Class A Common Stock","Discretionary","Internet Retail","23.88","58.25","Buy","Aug 21, 2026","Uptrend","Jul 27, 2026","6985502.7","-43.27","7.37","-0.46","Moving Up","","",,="5/9","<1","false","Swing"
"CME","CME Group Inc. Class A Common Stock","Financials","Financial Data & Stock Exchanges","270.87","82.36","Sell","Aug 21, 2026","Uptrend","Jul 24, 2026","2211580.77","2.6","0.17","1.47","Moving Down","","",,="3/9","<1","false","Swing"
"CNC","Centene Corporation Common Stock","Health Care","Healthcare Plans","64.14","75.13","Sell","Aug 21, 2026","Uptrend","Aug 10, 2026","4540545.93","4.47","3.74","-0.87","Moving Down","","",,="4/9","<1","false","Swing"
"COF","Capital One Financial Corporation Common Stock","Financials","Credit Services","212.48","77.73","Sell","Aug 21, 2026","Uptrend","Jul 09, 2026","3669554.67","68.17","1.68","-3.74","Moving Down","","",,="3/9","<1","false","Swing"
"COHR","Coherent Corp. Common Stock","Technology","Scientific & Technical Instruments","290.03","46.56","Sell","Aug 21, 2026","Downtrend","Aug 20, 2026","6304533.73","-228.42","0.27","0.89","Moving Down","","",,="2/9","<1","false","Swing"
"COIN","Coinbase Global, Inc. Class A Common Stock","Financials","Financial Data & Stock Exchanges","172.35","54.66","Buy","Aug 21, 2026","Uptrend","Aug 20, 2026","7984284.6","16.89","20.76","7.58","Moving Up","","Positive","true",="4/9","<1","false","Swing"
"COLB","Columbia Banking System, Inc. Common Stock","Financials","Banks - Regional","30.84","54.79","Sell","Aug 21, 2026","Downtrend","Aug 20, 2026","2975732.83","37.41","8.4","-0.74","Moving Down","","",,="2/9","<1","false","Swing"
"COLD","Americold Realty Trust, Inc. Common Stock","Real Estate","REIT - Industrial","15.02","71.98","Buy","Aug 21, 2026","Uptrend","Aug 20, 2026","3715052.7","-23.98","8.33","-0.4","Moving Up","","",,="7/9","<1","false","Swing"
"DB","Deutsche Bank AG Common Stock","Financials","Banks - Regional","37.56","56.98","Sell","Aug 21, 2026","Uptrend","Jul 24, 2026","1819825.03","186.73","1.28","-1.24","Moving Down","","",,="3/9","<1","false","Swing"
"DD","DuPont de Nemours, Inc. Common Stock","Materials","Specialty Chemicals","138.46","55.09","Sell","Aug 21, 2026","Neutral","Aug 18, 2026","1471921.57","90.66","2.45","-0.87","Moving Down","","",,="3/9","<1","false","Swing"
"DELL","Dell Technologies Inc. Class C Common Stock ","Technology","Computer Hardware","434.78","66.59","Sell","Aug 21, 2026","Uptrend","Aug 04, 2026","5969620.4","108.51","0.43","-0.63","Moving Down","","",,="3/9","<1","false","Swing"
"DNLI","Denali Therapeutics Inc. Common Stock","Health Care","Biotechnology","24.95","63.41","Buy","Aug 21, 2026","Uptrend","Aug 06, 2026","1581268.3","-76.63","0.1","-2.88","Moving Up","","",,="7/9","<1","false","Swing"
