Symbol,Company Name,Sector/Index,Industry,Last Close Price ($),Fear & Greed Heatmap Value,Current Signal Status,Signal Start Date,Overlay,Overlay Start Date,30-Day Avg Volume,OVTLYR Signal Return (%),Capital Efficiency,Price Change,Fear & Greed Heatmap Direction,OC Channel,Unusual News Activity (UNA),Top Mentions Today (TMT),Ovtlyr Nine,Sector Relative Greed,Partial Data Stocks,Signal Type
"ACLS","Axcelis Technologies, Inc. Common Stock","Technology","Semiconductor Equipment & Materials","144.11","48.26","Buy","Aug 18, 2026","Uptrend","Aug 17, 2026","423175.83","391.54","2.47","2.83","Moving Up","","",,="9/9","<1","false","Swing"
"ADBE","Adobe Inc. Common Stock","Technology","Software - Application","254.04","87.94","Sell","Aug 18, 2026","Uptrend","Jul 27, 2026","5103480.3","66.73","11.26","-3.78","Moving Down","","",,="7/9","<1","false","Swing"
"AIRT","Air T, Inc. Common Stock","Industrials","Conglomerates","27.81","66.94","Sell","Aug 18, 2026","Uptrend","Jun 17, 2026","12887.77","-263.83","0.03","-5.5","Moving Down","","",,="5/9","<1","false","Swing"
"ALG","Alamo Group, Inc. Common Stock","Industrials","Farm & Heavy Construction Machinery","161.87","60.08","Sell","Aug 18, 2026","Neutral","Aug 17, 2026","138332.13","13.43","1.17","-1.86","Moving Down","","",,="4/9","<1","false","Swing"
"APPN","Appian Corporation Class A Common Stock","Technology","Software - Infrastructure","34.91","83.2","Sell","Aug 18, 2026","Uptrend","Jul 24, 2026","820321.63","-40.79","0.02","-1.41","Moving Down","","",,="7/9","<1","false","Swing"
"ARGX","argenx SE American Depositary Shares","Health Care","Biotechnology","987.84","45.45","Buy","Aug 18, 2026","Uptrend","Aug 17, 2026","298924.13","18.38","0.23","16.04","Moving Up","","",,="9/9","<1","false","Swing"
"ARW","Arrow Electronics, Inc. Common Stock","Technology","Electronics & Computer Distribution","220.36","70.41","Buy","Aug 18, 2026","Uptrend","Aug 17, 2026","577733.5","165.98","2.9","2.98","Moving Up","","",,="8/9","<1","false","Swing"
"ASO","Academy Sports and Outdoors, Inc. Common Stock","Discretionary","Specialty Retail","46.1","42.39","Sell","Aug 18, 2026","Downtrend","Aug 17, 2026","1259089.63","37.84","19.67","-3.93","Moving Down","","",,="4/9","<1","false","Swing"
"BAX","Baxter International Inc. Common Stock","Health Care","Medical Instruments & Supplies","25.91","97.45","Sell","Aug 18, 2026","Uptrend","May 19, 2026","7035936.5","-20.93","11.3","-3.07","Moving Down","","",,="7/9","<1","false","Swing"
"BE","Bloom Energy Corporation Class A Common Stock","Industrials","Electrical Equipment & Parts","232.16","31.54","Sell","Aug 18, 2026","Neutral","Aug 12, 2026","15548235.63","-117.65","0.23","0.97","Moving Down","","",,="4/9","<1","false","Swing"
