Symbol,Company Name,Sector/Index,Industry,Last Close Price ($),Fear & Greed Heatmap Value,Current Signal Status,Signal Start Date,Overlay,Overlay Start Date,30-Day Avg Volume,OVTLYR Signal Return (%),Capital Efficiency,Price Change,Fear & Greed Heatmap Direction,OC Channel,Unusual News Activity (UNA),Top Mentions Today (TMT),Ovtlyr Nine,Sector Relative Greed,Partial Data Stocks,Signal Type
"ALGN","Align Technology, Inc. Common Stock","Health Care","Medical Instruments & Supplies","181.31","49.72","Buy","Aug 17, 2026","Uptrend","Aug 14, 2026","892017.77","-5.47","19.23","2.9","Moving Up","M2","",,="8/9","<1","false","Swing"
"ALLE","Allegion plc Ordinary Shares","Industrials","Security & Protection Services","164.78","97.35","Sell","Aug 17, 2026","Uptrend","Jul 16, 2026","1320047.87","30.2","2.91","-1","Moving Down","M2","",,="7/9","<1","false","Swing"
"ANAB","AnaptysBio, Inc. Common Stock","Health Care","Biotechnology","58.47","45.18","Buy","Aug 17, 2026","Uptrend","Aug 14, 2026","642608.97","-162.4","0.1","4.37","Moving Down","M2","",,="8/9","<1","false","Swing"
"ARTNA","Artesian Resources Corporation Class A Common Stock","Utilities","Utilities - Regulated Water","35.78","70.46","Buy","Aug 17, 2026","Uptrend","Jun 23, 2026","31073.83","-102.23","0.04","0.22","Moving Up","M2","",,="8/9","<1","false","Swing"
"ASB","Associated Banc-Corp Common Stock","Financials","Banks - Regional","32.33","71.34","Buy","Aug 17, 2026","Uptrend","Jun 09, 2026","1826588.3","24.27","1.15","0.53","Moving Up","M2","",,="9/9","<1","false","Swing"
"AWR","American States Water Company Common Stock","Utilities","Utilities - Regulated Water","88.97","80.24","Buy","Aug 17, 2026","Uptrend","Jun 04, 2026","284363","-73.77","0.02","0.27","Moving Up","M2","",,="7/9","<1","false","Swing"
"AZO","AutoZone, Inc. Common Stock","Discretionary","Auto Parts","3025","42.61","Sell","Aug 17, 2026","Downtrend","Aug 14, 2026","176507.17","-49.18","0.28","-0.51","Moving Down","M2","",,="4/9","<1","false","Swing"
"BATRA","Atlanta Braves Holdings, Inc. Series A Common Stock","Communication","Entertainment","57.33","34.57","Buy","Aug 17, 2026","Uptrend","Aug 14, 2026","63154.13","103.9","3.44","1.13","Moving Up","M2","",,="8/9","<1","false","Swing"
"BBIO","BridgeBio Pharma, Inc. Common Stock","Health Care","Biotechnology","79.86","50.77","Sell","Aug 17, 2026","Uptrend","Jun 23, 2026","2963530.9","24.76","1.3","-1.66","Moving Down","M2","",,="7/9","<1","false","Swing"
"BE","Bloom Energy Corporation Class A Common Stock","Industrials","Electrical Equipment & Parts","229.94","32.64","Buy","Aug 17, 2026","Neutral","Aug 12, 2026","15492775.23","-117.65","0.23","-2.66","Moving Down","M2","","true",="7/9","<1","false","Swing"
"BFH","Bread Financial Holdings, Inc. Common Stock","Financials","Credit Services","113.4","73.65","Buy","Aug 17, 2026","Uptrend","Jul 21, 2026","597970.97","26.71","1.91","1.59","Moving Up","M2","",,="9/9","<1","false","Swing"
"BILL","BILL Holdings, Inc. Common Stock","Technology","Software - Application","49.78","74.77","Sell","Aug 17, 2026","Uptrend","Jul 01, 2026","2322200.57","-9.14","13.43","-2.98","Moving Down","M2","",,="7/9","<1","false","Swing"
"BKU","BankUnited, Inc. Common Stock","Financials","Banks - Regional","48.34","50.17","Buy","Aug 17, 2026","Uptrend","Aug 14, 2026","890577.3","111.45","8.56","1.07","Moving Up","M2","",,="8/9","<1","false","Swing"
"BMY","Bristol-Myers Squibb Company Common Stock","Health Care","Drug Manufacturers - General","63.83","81.59","Sell","Aug 17, 2026","Uptrend","Jul 15, 2026","11578745.47","1.87","1.08","-1.27","Moving Down","M2","",,="7/9","<1","false","Swing"
"BNS","Bank Nova Scotia Halifax Pfd 3 Ordinary Shares","Financials","Banks - Diversified","91.54","71.99","Buy","Aug 17, 2026","Uptrend","Apr 10, 2026","2047450.77","108.64","3.91","0.98","Moving Up","M2","",,="9/9","<1","false","Swing"
"BNY","The Bank of New York Mellon Corporation Common Stock","Financials","Banks - Diversified","163.24","82.74","Buy","Aug 17, 2026","Uptrend","Apr 01, 2026","3245300.17","131.28","0.99","0.61","Moving Up","M2","",,="9/9","<1","false","Swing"
